===== BMS 电池安全监测日志 =====
[2025-12-19 18:33:26] PACK 总电压:  45.75 V | 电池电流: 放电   1.85 A | SOC:  24 % | 最高温度:  30.2 ℃ | 状态: 正常
[2025-12-19 18:44:53] PACK 总电压:  44.76 V | 电池电流: 放电   1.71 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:44:58] PACK 总电压:  44.80 V | 电池电流: 放电   1.70 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:45:26] PACK 总电压:  44.76 V | 电池电流: 放电   1.68 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:45:31] PACK 总电压:  44.80 V | 电池电流: 放电   1.69 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:45:36] PACK 总电压:  44.80 V | 电池电流: 放电   1.70 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:45:41] PACK 总电压:  44.79 V | 电池电流: 放电   1.72 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:45:46] PACK 总电压:  44.76 V | 电池电流: 放电   1.68 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:45:51] PACK 总电压:  44.79 V | 电池电流: 放电   1.75 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:45:56] PACK 总电压:  44.79 V | 电池电流: 放电   1.71 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:01] PACK 总电压:  44.77 V | 电池电流: 放电   1.75 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:06] PACK 总电压:  44.76 V | 电池电流: 放电   1.68 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:12] PACK 总电压:  44.76 V | 电池电流: 放电   1.74 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:17] PACK 总电压:  44.76 V | 电池电流: 放电   1.81 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:22] PACK 总电压:  44.77 V | 电池电流: 放电   1.87 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:27] PACK 总电压:  44.75 V | 电池电流: 放电   1.72 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:32] PACK 总电压:  44.73 V | 电池电流: 放电   1.91 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:37] PACK 总电压:  44.72 V | 电池电流: 放电   1.74 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:42] PACK 总电压:  44.71 V | 电池电流: 放电   2.11 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:47] PACK 总电压:  44.70 V | 电池电流: 放电   1.95 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:46:52] PACK 总电压:  44.71 V | 电池电流: 放电   1.99 A | SOC:  18 % | 最高温度:  30.8 ℃ | 状态: 正常
